รหัสโครงงาน,ชื่ออาจารย์ที่ปรึกษาโครงงาน,หัวข้อโครงงาน (ภาษาไทย),หัวข้อโครงงาน(ภาษาอังกฤษ),คลิปนำเสนอแบบสั้น (ไม่เกิน 5 นาที),คลิปนำเสนอแบบยาว (ไม่เกิน 20 นาที)
KSH-02,รศ.ดร.คมสันต์ หงษ์สมบัติ,การทดสอบระบบป้องกันตามข้อปฏิบัติในสภาวะแรงดันต่ำผ่านในโรงไฟฟ้าพลังงานแสงอาทิตย์,Grid code compliance for low voltage ride through in solar power plant,https://youtu.be/MXy0cOfXXUc?si=3BABjRIH9E214cyY,https://youtu.be/7J5TOLRsivY?si=V07N1-B6wh-QUstI
KSH-03,รศ.ดร.คมสันต์ หงษ์สมบัติ,การปฏิบัติตามระบบโครงข่ายไฟฟ้าสำหรับการทำงานร่วมกับแรงดันต่ำในโรงไฟฟ้าพลังงานลม,Grid code compliance for low voltage ride through in wind power plant,https://youtu.be/npMkH3Z0e2U?si=7m4Ts8lqHgWKhVuF,https://youtu.be/0ig78RxjGz0?si=3CWV8IK69A9B-at0
KSH-04,รศ.ดร.คมสันต์ หงษ์สมบัติ,การศึกษาเกี่ยวกับแผนภาพP-Qเพื่อปฎิบัติตามข้อกำหนดการเชื่อมต่อกริดโค้ด,Study Of P-Q Diagram For Grid Code Compliance,https://youtu.be/ESx5BDpHhwo?si=7bbuyIZigUmrn101,https://youtu.be/suv62bwhYhE
KSH-05,รศ.ดร.คมสันต์ หงษ์สมบัติ,การศึกษาการประสานงานของระบบป้องกัน,Study of Protection Coordination,https://youtu.be/yGSi4mf8_SM,https://youtu.be/8Hcur3POR7w
MTR-01,รศ.ดร.มิติ รุจานุรักษ์,โดรนส่งของเน้นการระบุตำแหน่งโดยวิทัศน์เครื่องจักร,Delivery drone stressing on localization using machine vision,https://youtu.be/9VZdCLlole4,https://youtu.be/q-YeP6kg2ak
MTR-02,รศ.ดร.มิติ รุจานุรักษ์,การศึกษาเปรียบเทียบการปล่อยแก๊สคาร์บอนไดออกไซด์ ของรถยนต์ไฟฟ้าแบตเตอรี่ล้วนและรถยนต์ไฟฟ้าปลั๊กอินไฮบริด,"A comparative study of Carbon Dioxide emissions between fully electric battery-powered cars and plug-in hybrid electric cars

",https://youtu.be/lvzYDoSWzP0,https://youtu.be/MngCN5kppK4
NAR_01,ผศ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,การติดตั้ง PV พร้อมเครื่องชาร์จ EV ในบ้านพักอาศัย,EV Solar Charging in Residential House,https://youtu.be/TdLG86m9Cuk,https://youtu.be/BFdigozTQsc?si=eFI0GXHYFtaVaj_2
NAR-02,ผศ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,การนำ PV มาประยุกต์ใช้ในภาคการเกษตรกรรม,PV Implementation in Agricultural Sector,https://youtu.be/JIiH06bZXpo,https://youtu.be/pSguiEhhex4
NAR03,ผศ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,การนำแนวคิด net zero มาประยุกต์ใช้กับอาคารหอพักอาศัย,PV Implementation with net zero resident house.,https://youtu.be/q-vr9vWhbFg?si=8lfSaefKxSQR5cAe,https://youtu.be/DFMz1UdiBjY?si=r0ym86ERis6XSLib
NAR-04,ผศ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,การประยุกต์ใช้เซลล์แสงอาทิตย์ในการผลิตไฟฟ้าในครัวเรือน,PV Implementation is Residential House,https://youtu.be/mIydxUcvfX4,https://youtu.be/GjCFM2a4wBg
NAR-05,ผศ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,การปรับปรุงและจัดการการใช้พลังงานเพื่อเป็นอาคารสีเขียว,Green renovation for existing building,https://www.youtube.com/watch?v=aFr5pL8Gqs8,https://www.youtube.com/watch?v=-uZyz0X7SEE
NAR-06,ผศ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,การติดตั้งแผงเซลล์แสงอาทิตย์เพื่อปั๊มน้ำในไร่มันสำปะหลัง,Installation of PV Panels for Water Pumps in Cassava Fields,https://youtu.be/I9JF7YK4gSM,https://youtu.be/nF96isvx57g
NAR-07,ผศ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,ออกแบบระบบผลิตกระแสไฟฟ้าจากเซลล์แสงอาทิตย์เพื่อใช้ในอาคาร,Designing the PV system for the existing building.,https://youtu.be/u2JJiRUC_GA,https://youtu.be/L9TMvN-PhSU
NAR-08,ผศ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,แผนการลงทุนสถานีประจุรถไฟฟ้าแบบเคลื่อนที่,Business Plan for Mobile Electric Vehicle Charging Stations,https://youtu.be/grCoEfdUucg?si=BRjGY3c95l3PoWen,https://youtu.be/vvwHOUVQ8UI?si=enm2AT0JqXM1hwRk
NRT-01,ผศ.ดร. เนาวรัตน์ เทพหริรักษ์,การพัฒนาโปรแกรม DIgSILENT ร่วมกับ Python เพื่อหาตำแหน่งความผิดพร่องในระบบจำหน่ายไฟฟ้า,Developing DIgSILENT with Python to locate faults in the power distribution system,https://www.youtube.com/watch?v=SrX31Wsm87M,https://youtu.be/c8VvIA1KKmw
NRT-02,ผศ.ดร. เนาวรัตน์ เทพหริรักษ์,การศึกษาและพัฒนาเทคโนโลยีพลาสมาจากการคายประจุไฟฟ้าสำหรับอุตสาหกรรมชีวภาพ,Study and Development of Electrical Discharge Plasma System for Biological, https://shorturl.at/jLMPR,https://shorturl.at/efgiJ
NRT-03,ผศ.ดร. เนาวรัตน์ เทพหริรักษ์,การศึกษาและพัฒนาเทคโนโลยีพลาสมาเย็นสำหรับการประยุกต์ใช้ในอุตสาหกรรมเกษตร,Study And Development Of Atmospheric Non-Thermal Plasma For Agricultural Industry,https://youtu.be/J2d6ddR0r7w,https://youtu.be/fL_JRPyaVOs
NRT-04,ผศ.ดร. เนาวรัตน์ เทพหริรักษ์,การศึกษาแผนการดำเนินธุรกิจของพลังงานแสงอาทิตย์ที่ติดตั้งบนหลังคา,A Study of Solar PV Business Model,https://youtu.be/3dlvruMsD5g,https://youtu.be/Vp06rNJ_Spc
NRT-05,ผศ.ดร. เนาวรัตน์ เทพหริรักษ์,การศึกษาการจ่ายไฟฟ้าที่เหมาะสมในระบบไมโครกริด,Optimum Power Supply in Microgrid System,https://www.youtube.com/watch?v=eJ0aJV-Cqe0,https://www.youtube.com/watch?v=dKaPTZOipds
NRT-07,ผศ.ดร. เนาวรัตน์ เทพหริรักษ์,การศึกษาและพัฒนาเทคโนโลยีพลาสมาจากการคายประจุไฟฟ้าสำหรับการปรับปรุงคุณภาพอากาศ,Study and development of electrical discharge plasma technology for improving air quality.,https://youtu.be/ZQHV3m6GWv4,https://youtu.be/E2uOdcuye_I
NWC-01,ผศ.ดร..ณัฐวุฒิ ชินธเนศ,การควบคุมการทำงานร่วมกันของแต่ละสถานีย่อยในระบบลำเลียงชิ้นงานของกระบวนการผลิตในงานอุตสาหกรรม ,Cooperative control for multi-stations of conveyor system in manufacturing  process.,https://youtu.be/iisTogfXruM?si=Uo5rxYh_VzrnVEQ5,https://youtu.be/BoN9AK2GzFM?si=vuiepL8ZbA9m2awp
NWC-02,ผศ.ดร..ณัฐวุฒิ ชินธเนศ,การควบคุมการทำงานร่วมกันของระบบสายพานลำเลียงและระบบแขนหุ่นยนต์แกนฉาก,Collaborative control of conveyor systems and cartesian robots,https://youtu.be/16x0uroWj60?feature=shared,https://youtu.be/2AiTSoxEPjE?feature=shared
PIR-01,อ.ดร. พิสุทธิ์ รพีศักดิ์,การจำแนกสาเหตุของการไฟดับโดยใช้วิธี Deep Learning,Electric Power Outage Cause Classification using Deep Learning,https://youtu.be/GAlFpuJ3DuQ,https://youtu.be/pllcQ4Mf_wk
PIR-02,อ.ดร. พิสุทธิ์ รพีศักดิ์,การแยกประเภทสาเหตุการเกิดไฟดับโดยใช้ machine learning,Electric Power Outage Cause Classification using machine learning,https://youtu.be/N89zSJS36WU,https://youtu.be/e_YKtpfrCD0
PIR-03,อ.ดร. พิสุทธิ์ รพีศักดิ์,การตรวจจับความผิดปกติในข้อมูลของหม้อแปลงไฟฟ้าระบบจำหน่ายด้วยการเรียนรู้ของเครื่องจักร,Distribution Transformer’s Anomalous Load Detection in Data with Machine Learning,https://youtu.be/nB_OIvx05m0,https://youtu.be/fwlPgduI--Q
PJD-01,รศ.ดร.ปานจิต ดำรงกุลกำจร,การใช้ Building Information Modeling (BIM) เพื่อเพิ่มประสิทธิภาพการออกแบบระบบไฟฟ้าในอาคารชุดพักอาศัย,Applying Building Information Modeling (BIM) to Increase the Efficiency of Electrical System Design in Condominium,https://youtu.be/UaujTMhM2CA,https://youtu.be/Yo8pjO4WWeI
PJD-02,รศ.ดร.ปานจิต ดำรงกุลกำจร,การศึกษา BUILDING INFORMATION MODELING (BIM) เพื่อเพิ่มประสิทธิภาพการออกแบบระบบไฟฟ้าในอาคารสถานศึกษา,APPLYING BUILDING INFORMATION MODELING (BIM) TO INCREASE THE EFFICIENCY OF ELECTRICAL SYSTEM DESIGN IN ACADEMIC BUILDING,https://youtu.be/qNIMCuPsYkw,https://youtu.be/CzTcZakWnxw
PJD-03,รศ.ดร.ปานจิต ดำรงกุลกำจร,การใช้ Building Information Modeling (BIM) เพื่อเพิ่มประสิทธิภาพการออกแบบระบบไฟฟ้าในอาคารสำนักงาน,Applying Building Information Modeling (BIM) to Increase the Efficiency of Electrical System Design in Office Building,https://youtu.be/vL-Yj5WrRw0,https://youtu.be/ZnmZijaLLzg
PJD-04,รศ.ดร.ปานจิต ดำรงกุลกำจร,การศึกษาแนวทางการอนุรักษ์พลังงานไฟฟ้าในคณะวิศวกรรมศาสตร์,"The Study of electrical energy conservation for faculty of engineering
",https://youtu.be/S9PfGI2k8fI,https://youtu.be/9xyceRm9Aw8
"PJD-05
",รศ.ดร.ปานจิต ดำรงกุลกำจร,การศึกษาการจัดลำดับบริภัณฑ์ป้องกันแรงต่ำโดยใช้โปรแกรม e-Design,To Study of Low-Voltage protective Devices Coordination using e-Design,https://youtu.be/o2YTBffwME8,https://youtu.be/65fJIDJPuwM
PYP-01,รศ.ดร.พีระยศ แสนโภชน์,การเขียนโปรแกรมเรื่องระบบวัด/ควบคุมของโครงการเสาเข็มพลังงานและ IOT กับระบบอุปกรณ์,Programming of measurement/control system for plie and IOT projects,https://youtu.be/n0nEX8scfzI,https://youtu.be/TVpuzlinW54
PYP-02,รศ.ดร.พีระยศ แสนโภชน์,"การศึกษายานพาหนะใต้น้ำอัตโนมัติ - การสร้างแบบจำลองและออกแบบตัวควบคุมการทำงานของทรัสเตอร์
","Study of Autonomous Underwater Vehicle - Modeling and Control of Autonomous Underwater Vehicle Thruster
",https://youtu.be/eQFmAT6e3ts,https://youtu.be/gt4SnixJ5Dg
PYP-03,รศ.ดร.พีระยศ แสนโภชน์,ระบบการวัด/ควบคุมในเสาเข็มพลังงาน,Ground Source Heat Pump and Energy Pile,https://youtu.be/n6P0vW5F3EA,https://youtu.be/5_MREbER_fc
SCDT-01,รศ.ดร.สัญชัย เดชานุภาพฤทธา,การประมาณและการพยากรณ์โหลดระยะสั้นด้วยข้อมูลการวัดแบบประสานเวลาโดยวิธีการเรียนรู้เชิงลึก,Deep Learning Based Estimation and Short Term Load Forecast by using Synchronized Measurement Data,https://shorturl.at/cjkPV,https://shorturl.at/hlzY0
SCDT-02,รศ.ดร.สัญชัย เดชานุภาพฤทธา,การประมาณค่าสถานะและการพยากรณ์ค่ากำลังไหลแบบเรียลไทม์ด้วยเทคนิคการเรียนรู้เชิงลึก,DL Base Estimation and Forecasting of Real-Time Power Flow,https://youtu.be/P6EXn7T7zcY,https://youtu.be/x-fRQtsV-a4
SIR-01,รศ.ดร. ศิริโรจน์ ศิริสุขประเสริฐ,การศึกษาและออกแบบโรงไฟฟ้าพลังงานแสงอาทิตย์,A Study and Design of Photovoltaic Farm,https://youtu.be/7eXs7Gl_Ah4,https://youtu.be/tee44_h049Q
SIR-02,รศ.ดร. ศิริโรจน์ ศิริสุขประเสริฐ,การศึกษาและออกแบบระบบผลิตไฟฟ้าจากแสงอาทิตย์ระดับจำหน่าย,A Study and Design on Distributed Photovoltaic Power Generation Systems,https://youtu.be/I-wAV5SSPV4,https://youtu.be/ZFt_IuHW15E
SIR-03,รศ.ดร. ศิริโรจน์ ศิริสุขประเสริฐ,การอนุรักษ์และการจัดการพลังงานในโรงงานหลังคาเหล็ก,Energy Conservation and Management for Metal Sheet Factory,https://youtu.be/n82t0ajN2yY,https://youtu.be/g-ukycGRyjo
SIR-04,รศ.ดร. ศิริโรจน์ ศิริสุขประเสริฐ,การอนุรักา์พลังงานและจัดการพลังงานในอาคารชุด,Energy Conservation and Management in Condomium,https://youtu.be/BDMw3uGELhM,https://youtu.be/nPTBKgWRhic
TAKE-01,อ.ดร.ธงชาติ เกิดผล,การศึกษาและวิเคราะห์ความสามารถในการส่งกำลังไฟฟ้าที่เหลืออยู่ของระบบโครงข่ายไฟฟ้าของประเทศไทย,Calculation of available transfer capability (ATC) of Thailand power system network,https://youtu.be/Hlod37RV7Xg,https://youtu.be/5nXo1XSgYKA
TAKE-02,อ.ดร.ธงชาติ เกิดผล,การศึกษาและปรับปรุงเสถียรภาพของกริดขนาดเล็กที่มีอัตราส่วนพลังงานทดแทนในระดับสูง (กรณีศึกษาจากกริดของการไฟฟ้าฝ่ายผลิต อ.แม่เสรียง จ.แม่ฮ่องสอน),"Stability analysis and augment of a typical microgrid with high renewable penetration (A case study of EGAT microgrid, Mae Sarieng)",https://youtu.be/QB9ubOsQRJk,https://youtu.be/rXc3pwSeJ0w
TAKE-04,อ.ดร.ธงชาติ เกิดผล,การศึกษาและออกแบบเครื่องกำเนิดไฟฟ้าแบบเสมือนเพื่อเพิ่มเสถียรภาพให้กับระบบไฟฟ้ากำลังสมัยใหม่,A study and design of virtual synchronous machines for stability enhancement of modern power systems,https://youtu.be/zOylRd8byCM,https://youtu.be/Z2SgzFQjllg
TSK-01,รศ.ดร.ธีรสิทธิ์ เกษตรเกษม,การศึกษาโมเดลภาษาขนาดใหญ่สำหรับแนวโน้มหุ้นโดยใช้ชุดข้อมูลทางการเงิน,A Study on Large Language Model for Stock Trend using a Financial Dataset,https://youtu.be/OZVR5DATRlo,https://youtu.be/EHXJ_xD3_UU
TSK-02,รศ.ดร.ธีรสิทธิ์ เกษตรเกษม,การตรวจจับและระบุตำแหน่งโรคในพืชโดยใช้แบบจำลองการเรียนรู้เชิงลึก,Plant Disease Detection and Localization Using Deep Learning Models,https://youtu.be/rGMt1ZUNeoA,https://youtu.be/i_gUyB7HRPQ
TSK-03,รศ.ดร.ธีรสิทธิ์ เกษตรเกษม,การทำนายราคาหุ้นโดนใช้ทรานฟอร์มเมอร์โมเดล,Stock Price Prediction by Transformer Model,https://www.youtube.com/watch?v=0V3vPpJA_Dc,https://www.youtube.com/watch?v=0Cc8FKW1Rkg
TSK-04,รศ.ดร.ธีรสิทธิ์ เกษตรเกษม,การสำรวจศักยภาพของการกลั่นความรู้เพื่อการตรวจจับแปลงนาข้าว,Investigation of the Potential of Knowledge Distillation for Rice Farm Detection,https://youtu.be/Fs6bkrFSHss,https://youtu.be/DC2hljzPR5M
UNT-01,รศ.ดร.อุศนา ตัณฑุลเวศม์,การยกกำลังแบบมอดุลาร์ที่มีความซับซ้อนต่ำสำหรับตัวมอดุลัสที่เป็นจำนวนเฉพาะ                                   ,Low - Complexity Modular Exponentiation for Prime Modulus,https://youtu.be/MXXxGk_qifc?si=uLoh8fs-rNhIxHbh,https://youtu.be/y0mPDdtKMvk?si=DbpWlGync_bBHtxh
VPA-01,ศ.ดร.วุฒิพงศ์ อารีกุล,การจำแนกประเภทใบไม้โดยภาพถ่าย,Leaf Classification,https://youtu.be/kxhPLUpeUDk,https://youtu.be/bLFU2hAy2sA
WDW-01,รศ.ดร. วรดร วัฒนพานิช,การออกแบบวงจรรวมพลังงานต่ำสำหรับอุปกรณ์ตรวจวัดคลื่นไฟฟ้าหัวใจแบบอิเล็กโทรดแบบแอกทีฟ,Design of Low-Power Integrated Circuits for Active-Electrode Electrocardiogram Recorders,https://youtu.be/KrsuWYtduAU,https://youtu.be/c2G1760Y37g
WNP-01,ผศ.ดร.วินัย พฤกษะวัน,การศึกษาการป้องกันฟ้าผ่าภายนอกและภายใน,A Study of External and Internal Lightning Protection,https://youtu.be/zrGlb3q0tTQ?si=8G2XIQpPhAYYOFaO,https://youtu.be/oxoGRCbQTHA?si=FScww9muUNDq1lyX
WOP-01,ผศ.ดร.วิทชุกร ภู่ทอง,การจำลองการดูดซับคลื่นเทระเฮิร์ตเพื่อการพัฒนาไมโครโบโลมิเตอร์,Simulation of Terahertz absorption of Microbolometer,https://youtu.be/5kCDyCUhrfY,https://youtu.be/ONrVP5jtN5k
WRC-01,รศ.ดร.วชิระ จงบุรี,การจัดทำศูนย์ติดตามตำแหน่งรับส่งข้อมูลเทเลเมทรีและออกคำสั่งสำหรับพื้นที่ห่างไกลบนพื้นฐานเครือข่ายอินเทอร์เน็ต,Implementation of Internet-Based Telemetry Tracking and Command Center for Remote Areas,https://youtu.be/XgYlcX1D2YQ,https://youtu.be/S3TtH2RILDg
WRC-02,รศ.ดร.วชิระ จงบุรี,การปรับใช้ระบบวิทยุแพ็กเก็ต VHF เพื่อการติดตามตำแหน่งและข้อมูลเทเลมิทรี,Implement of a VHF packet radio system for positioning and telemetry data,https://youtu.be/oy8Ctw9pq7M,https://youtu.be/06hCLHx7CGM
WWK-01,ผศ.ดร.วีรวุฒิ กนกบรรณกร,การใช้BESSเพื่อลดปัญหาแรงดันเกินที่เกิดจากการเชื่อมต่อระบบไฟฟ้าแสงอาทิตย์ในระบบกริด,Mitigation Of Overvoltage In Distribution System With Photovoltaic By Battery Energy Storage System,https://youtu.be/4_9uQatWiwA,https://youtu.be/_3SNPTbM1cw
WWK-02,ผศ.ดร.วีรวุฒิ กนกบรรณกร,การศึกษาประเมินคาร์บอนเครดิตจากพลังงานไฟฟ้าแสงอาทิตย์,Evaluate carbon credits from solar energy,https://youtu.be/g7rUzdi2CXs?si=HesHNymdsJJK_fg7,https://youtu.be/kiQ7P_vOUDs?si=HawEdQBUjG-ad1DE
WWK-03,ผศ.ดร.วีรวุฒิ กนกบรรณกร,การศึกษาผลกระทบของเครื่องกำเนิดไฟฟ้าแบบกระจายตัวต่อการระบุตำแหน่งการลัดวงจรในระบบจำหน่าย,Studies on the Effects of Distributed Generators Penetrated on the Short Circuit Locations Identifications in the Distribution Systems,https://youtu.be/0ay-UAHQPIQ,https://youtu.be/dEwmKCdWQgE?si=xukT3xF0mYqs04ZI
,,,,,
AAP-G1,Asst.Prof. Achara Pichetjamroen,,Hardware in the loop application in PV generation system,https://www.youtube.com/watch?v=4-mi11flrp8,https://www.youtube.com/watch?v=PLywXux1MSk
CRM-03,Assoc.Prof. Chowarit Mitsantisuk,,Improving food process efficiency and quality control through PLC automation and robotic,https://youtu.be/V6UtYeYn7uY,https://youtu.be/82SIuQX6xQU
DUS-G1,Asst.Prof. Dusit Thanapatay,,Half-Automatic Garden Cultivation system,https://www.youtube.com/watch?v=52RIoB67o2Y,https://www.youtube.com/watch?v=dlqkLeq3Fds
DUS-G3,Asst.Prof. Dusit Thanapatay,,Measurement of Hemodynamic in diabetes mellitus patient,https://youtu.be/6DDd1LLh8Pk?si=feX0kZtl5KB3Srz7,https://youtu.be/9moTWW9cJUU?si=fs3p9DgJ3kyE8nMh
ECP-G1,Assoc.Prof. Ekachai Phaisangittisagul,,The Application of Machine Learning Algorithms in Credit Default Prediction,https://youtu.be/yTRbH6Lodjw?si=Q2UrkY721VTj14nG,https://youtu.be/8ZXg2Vjsbb0?si=hKCgErBlhd68inxP
KPSCG1,Assoc.Prof. Kanjanapan Sukvichai,,Development of Simulaton for aBall-riding robot in Gazebo based on ROS,https://www.youtube.com/watch?v=HQjoMDOwlOI,https://www.youtube.com/watch?v=qHCRlqw7z8Q
KSH-G1,Assoc.Prof. Komsan Hongesombut,,"Solar Roof Project for Wat Suthiwararam School.		",https://youtu.be/VVBSJg0nDbc?si=QvXLaujPzKd1p6eg,https://youtu.be/J8ajMEVZX24?si=LMYPxakGXzl7-oBi
MTR-G1,Assoc.Prof. Miti Ruchanurucks,,Detecting humans from a bird's eye view to identify safety abnormalities for residents.,https://youtu.be/xGnxTdxagnw?si=sJA-UbW2yCxis2BL,https://youtu.be/ByEFnaH6WVw?si=ZEYhuUC0lK1pHMy1
MTR-G2,Assoc.Prof. Miti Ruchanurucks,,Facial emotion recognition using convolutional neural networks,https://youtu.be/hNHmWnJdpIc,https://youtu.be/IjDxzhmmPKo
MTR-G3,Assoc.Prof. Miti Ruchanurucks,,A studying and implementation of an air-pressurized artificial limb (hand),https://youtu.be/dK55USTamhE,https://youtu.be/hiK5qJfpjdg
NPTE-02,Asst.Prof. Nithiphat Teerakawanich,,Comparing Electric Vehicle Simulation from Real Route and Standard,https://youtu.be/SkkeQkrRqZM,https://youtu.be/1BUi28_sNuI
PYP_G1,Assoc.Prof. Peerayot Sanposh,,System Identification of AUV Thruster,https://youtu.be/R3qtPmq-5Rw,https://youtu.be/hboEFjRtnoc
SIR-G1,Assoc.Prof. Siriroj Sirisukprasert,,The Study and Design of Energy Management and Energy Storage Systems for Gas Stations,https://www.youtube.com/watch?v=ccqqgy03oas,https://www.youtube.com/watch?v=_EZ3hVyXDb0
STY-G5,Assoc.Prof. Somying Thainimit,,Vision based waste detection for garbage recycling,https://www.youtube.com/watch?v=e_ga8L1-iok,https://www.youtube.com/watch?v=i1z4wKDik-U
SYT-G1,Assoc.Prof. Somying Thainimit,,"Categorization of Leukocytes Using Machine Learning Techniques: 
A Study on White Blood Cell Classification with an Imbalanced 
Datase",https://www.youtube.com/watch?v=nZjROjrzvXQ,https://www.youtube.com/watch?v=4Xyyz_-zrcA
SYT-G3,Assoc.Prof. Somying Thainimit,,Machine learning based dog detection and tracking system,https://youtu.be/cqaBwvztqRA,https://youtu.be/IVVWHYYdIXY
SYT-G3,Assoc.Prof. Somying Thainimit,,Machine learning based dog detection and tracking system,https://youtu.be/cqaBwvztqRA,https://youtu.be/IVVWHYYdIXY
SYT-G4,Assoc.Prof. Somying Thainimit,,Dog Image Retrieval with Fewshot Learning,https://youtu.be/c7XZYpGm0iA,https://youtu.be/a89gQ6El8A8
TAKE-G1,Dr. Thongchart Kerdphol,,Design Optimum Solar Rooftop For Faculty of Engineering Building 3 Kasetsart University,https://youtu.be/Pl26fUdttiM,https://youtu.be/TZcuVxCZi3E
TAKE-G1,Dr. Thongchart Kerdphol,,Design Optimum Solar Rooftop For Faculty of Engineering Building 3 Kasetsart University,https://youtu.be/Pl26fUdttiM,https://youtu.be/TZcuVxCZi3E
TNK-G2,Asst.Prof. Thanakorn Khongdeach,,Interface of VHF packet radio,https://www.youtube.com/watch?v=4mfFzLY_xVI,https://www.youtube.com/watch?v=5Bu8hq_6Lpw
TPJ-G1,Asst.Prof. Terapass Jariyanorawiss,,Artificial Intelligence for the Stabilization of the Algorithmic Stable coin,https://youtu.be/H3bVYXFi4iY,https://youtu.be/hrthm5dboXM
TSK-G5,Assoc.Prof. Teerasit Kasetkasem,,Lighting Profile,https://shorturl.at/ISzpY,https://shorturl.at/wXECL
WRC-G1,Assoc.Prof. Wachira Chongburee,,Meshtastic War Room,https://youtu.be/d1c1HBkLPhA,https://youtu.be/UBS44VVQ_Zs
WRC-G2,Assoc.Prof. Wachira Chongburee,,A Range Test of 923MHz Lora Meshtastic,https://youtu.be/pT959ameB1o?si=ACT8n8kDzGJgGAdU,https://youtu.be/0pWMEr_tsck?si=PE4lJdnnhLEITn5T
WRS-G1,Prof. Wiroonsak Santipach,,Application of Autoencoder in MIMO wireless channel,https://www.youtube.com/watch?v=x7sOL3CrQIk,https://youtu.be/VNnr_XGF2lU
